Sucursal,Factura,Cotizacion,Estatus,Requisicion,"Salidas Material","Orden de fabricacion","Fecha de Factura","Fecha de Cotizacion",Parcial1,Parcial2,Parcial3,Parcial4,Parcial5
"La Noria",BB141024,,"Pedido generado",,0,,"2023-09-04 05:00:16",,,,,,
"La Noria",BB141025,,Entregado,N003161,0,,"2023-09-04 05:08:39","2023-09-05 05:19:51",N3560,N3574,,,
"San Pablo",A425659,,Entregado,,1,,"2023-09-04 05:11:33",,,,,,
"San Pablo",123310,A425792,Entregado,,1,,"2023-09-04 05:15:59",,,,,,
"San Pablo",123375,A425788,Entregado,,1,,"2023-09-04 05:16:38",,,,,,
"San Pablo",A425663,,Entregado,,1,,"2023-09-04 05:26:22",,,,,,
"La Noria",BB141002,,Entregado,,1,,"2023-09-04 05:33:31",,,,,,
"San Pablo",A425666,,Entregado,,1,,"2023-09-04 05:34:20",,,,,,
"San Pablo",123398,A425784,Entregado,,1,,"2023-09-04 05:41:38",,,,,,
"La Noria",BB141018,BB141018,Entregado,,1,,"2023-09-04 05:42:49",,,,,,
"La Noria",BB141031,,Entregado,,1,,"2023-09-04 05:43:18",,,,,,
"San Pablo",A425667,,Fabricado,,0,1925,"2023-09-04 05:51:54",,,,,,
"La Noria",BB141034,,Entregado,,1,,"2023-09-04 06:03:32",,,,,,
"San Pablo",425673,,Entregado,5569,0,,"2023-09-04 06:04:24","2023-09-14 03:52:50",N17692,,,,
"San Pablo",A425676,,Entregado,,0,,"2023-09-04 06:15:54",,,,,,
"San Pablo",425668,A425668,Entregado,,1,1926,"2023-09-04 06:17:33",,,,,,
"San Pablo",425671,A425671,Entregado,,1,,"2023-09-04 06:18:15",,,,,,
"San Pablo",425680,,"Pedido generado",,0,,"2023-09-04 06:29:21",,,,,,
"San Pablo",425677,,Entregado,,1,,"2023-09-04 06:40:39",,,,,,
"San Pablo",425679,,Entregado,,1,,"2023-09-04 06:41:14",,,,,,
"La Noria",BB141037,BB141037,Entregado,,1,,"2023-09-04 06:42:04",,,,,,
"San Pablo",425687,,Fabricado,,0,1928,"2023-09-04 06:52:02",,,,,,
"La Noria",BB141040,BB141040,Devolución,N003161,0,,"2023-09-04 07:22:28","2023-09-05 05:20:18",N3556,17867,N3562,,
"La Noria",BB141042,,Fabricado,,0,1111,"2023-09-04 07:35:57",,,,,,
"San Pablo",A425698,A425698,"Recibido por embarques",,0,,"2023-09-04 07:45:02",,,,,,
